Geo Fudge for Tim,Node,Load Fraction (%),Gas Units,Wind Units,Solar Units,Total No. DG Units,x,y
,1,0,0,0,0,0,357.6387356,375.0603571
VIC West,2,8,0,0,0,0,418.725182,353.9040017
,3,1,1,0,0,1,444.1140112,397.5099326
SA,4,3,1,0,0,1,553.2597482,416.8166721
NSW,5,33,1,0,0,1,472.3799039,397.6702554
,6,0,1,5,0,6,537.7461004,447.0615275
VIC Centre,7,8,1,2,0,3,499.8269354,423.9238531
VIC West,8,11,1,0,1,2,531.0465822,479.0685046
,9,0,1,0,0,1,627.0892708,389.9028605
,10,2,1,0,1,2,644.2837414,322.8670839
,11,0,1,0,0,1,628.0501476,410.7111458
Tasmania,12,4,1,0,0,1,615.2609191,299.2291791
Tasmania,13,0,0,0,0,0,593.8578576,298.8726678
,14,2,1,2,0,3,623.4764304,317.2578079
,15,3,1,4,1,6,661.6883687,252.8102003
,16,1,1,1,0,2,655.2609333,286.6059472
,17,3,1,2,0,3,666.8290469,309.4504
,18,1,1,5,0,6,637.2238147,220.8695258
,19,3,1,2,0,3,602.7037845,182.2584092
,20,1,1,5,4,10,635.1525762,254.7019894
QLD SE,21,6,1,5,1,7,687.3791534,360.2055169
,22,0,0,0,0,0,674.985176,389.2005625
,23,1,0,0,0,0,694.87982,301.421482
QLD Centre,24,3,0,0,0,0,653.4634646,426.1791732
,25,0,1,0,0,1,646.8783094,438.5770552
QLD North,26,1,1,0,0,1,637.5316667,471.8379674
,27,0,0,0,0,0,602.1384851,485.6731516
,28,0,1,2,0,3,583.6246988,476.8907034
,29,1,1,0,0,1,596.7257505,549.9854805
,30,4,1,0,0,1,616.7718965,565.658889
